tailnum,year,type,manufacturer,model,engines,seats,speed,engine
N8520Q,2017,NA,BOEING,737-800,2,189,NA,Turbo-fan
N8522P,2017,NA,BOEING,737-800,2,189,NA,Turbo-fan
N8523W,2017,NA,BOEING,737-800,2,189,NA,Turbo-fan
N8524Z,2017,NA,BOEING,737-800,2,189,NA,Turbo-fan
N8525S,2017,NA,BOEING,737-800,2,189,NA,Turbo-fan
N8526W,2017,NA,BOEING,737-800,2,189,NA,Turbo-fan
N8527Q,2017,NA,BOEING,737-800,2,189,NA,Turbo-fan
N8528Q,2017,NA,BOEING,737-800,2,189,NA,Turbo-fan
N8529Z,2017,NA,BOEING,737-800,2,189,NA,Turbo-fan
N852DN,2016,NA,BOEING,737-932ER,2,222,NA,Turbo-fan
N852NN,2010,NA,BOEING,737-823,2,162,NA,Turbo-fan
N852NW,2004,NA,AIRBUS,A330-223,3,379,NA,Turbo-fan
N852UA,2002,NA,AIRBUS,A319-131,2,179,NA,Turbo-jet
N8530W,2017,NA,BOEING,737-800,2,189,NA,Turbo-fan
N8531Q,2017,NA,BOEING,737-800,2,189,NA,Turbo-fan
N85320,2015,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N85323,2015,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N8532S,2017,NA,BOEING,737-800,2,189,NA,Turbo-fan
N8533S,2017,NA,BOEING,737-800,2,189,NA,Turbo-fan
N85340,2016,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N8534Z,2017,NA,BOEING,737-800,2,189,NA,Turbo-fan
N85351,2017,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N85352,2017,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N85354,2017,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N85355,2017,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N85356,2017,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N85358,2017,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N8535S,2017,NA,BOEING,737-800,2,189,NA,Turbo-fan
N85363,2020,NA,YABORA INDUSTRIA AERONAUTICA S,ERJ 170-200 LL,2,70,NA,Turbo-fan
N85369,NA,NA,YABORA INDUSTRIA AERONAUTICA S,ERJ 170-200 LL,2,70,NA,Turbo-fan
N8536Z,2017,NA,BOEING,737-800,2,189,NA,Turbo-fan
N85370,NA,NA,YABORA INDUSTRIA AERONAUTICA S,ERJ 170-200 LL,2,70,NA,Turbo-fan
N85373,NA,NA,YABORA INDUSTRIA AERONAUTICA S,ERJ 170-200 LL,2,70,NA,Turbo-fan
N85374,NA,NA,YABORA INDUSTRIA AERONAUTICA S,ERJ 170-200 LL,2,70,NA,Turbo-fan
N85376,NA,NA,YABORA INDUSTRIA AERONAUTICA S,ERJ 170-200 LL,2,70,NA,Turbo-fan
N85377,NA,NA,YABORA INDUSTRIA AERONAUTICA S,ERJ 170-200 LL,2,70,NA,Turbo-fan
N85379,NA,NA,YABORA INDUSTRIA AERONAUTICA S,ERJ 170-200 LL,2,70,NA,Turbo-fan
N8537Z,2017,NA,BOEING,737-800,2,189,NA,Turbo-fan
N8538V,2017,NA,BOEING,737-800,2,189,NA,Turbo-fan
N8539V,2017,NA,BOEING,737-800,2,189,NA,Turbo-fan
N853DN,2016,NA,BOEING,737-932ER,2,222,NA,Turbo-fan
N853NN,2010,NA,BOEING,737-823,2,162,NA,Turbo-fan
N853NW,2004,NA,AIRBUS,A330-223,3,379,NA,Turbo-fan
N853UA,2002,NA,AIRBUS,A319-131,2,179,NA,Turbo-jet
N853VA,2012,NA,AIRBUS,A320-214,2,182,NA,Turbo-fan
N8540V,2017,NA,BOEING,737-800,2,189,NA,Turbo-fan
N8541W,2017,NA,BOEING,737-800,2,189,NA,Turbo-fan
N8542Z,2017,NA,BOEING,737-800,2,189,NA,Turbo-fan
N8543Z,2017,NA,BOEING,737-800,2,189,NA,Turbo-fan
N8544Z,2017,NA,BOEING,737-800,2,189,NA,Turbo-fan
N8545V,2017,NA,BOEING,737-800,2,189,NA,Turbo-fan
N8546V,2017,NA,BOEING,737-800,2,189,NA,Turbo-fan
N8547V,2017,NA,BOEING,737-800,2,189,NA,Turbo-fan
N8548P,2017,NA,BOEING,737-800,2,189,NA,Turbo-fan
N8549Z,2017,NA,BOEING,737-800,2,189,NA,Turbo-fan
N854DN,2016,NA,BOEING,737-932ER,2,222,NA,Turbo-fan
N854NN,2010,NA,BOEING,737-823,2,162,NA,Turbo-fan
N854NW,2004,NA,AIRBUS,A330-223,3,379,NA,Turbo-fan
N854UA,2002,NA,AIRBUS,A319-131,2,179,NA,Turbo-jet
N854VA,2012,NA,AIRBUS,A320-214,2,182,NA,Turbo-fan
N8550Q,2017,NA,BOEING,737-800,2,189,NA,Turbo-fan
N8551Q,2017,NA,BOEING,737-800,2,189,NA,Turbo-fan
N8552Z,2017,NA,BOEING,737-800,2,189,NA,Turbo-fan
N8553W,2017,NA,BOEING,737-800,2,189,NA,Turbo-fan
N8554X,2017,NA,BOEING,737-800,2,189,NA,Turbo-fan
N8555Z,2017,NA,BOEING,737-800,2,189,NA,Turbo-fan
N8556Z,2017,NA,BOEING,737-800,2,189,NA,Turbo-fan
N8557Q,2017,NA,BOEING,737-800,2,189,NA,Turbo-fan
N8558Z,2017,NA,BOEING,737-800,2,189,NA,Turbo-fan
N8559Q,2018,NA,BOEING,737-800,2,189,NA,Turbo-fan
N855DN,2016,NA,BOEING,737-932ER,2,222,NA,Turbo-fan
N855NN,2010,NA,BOEING,737-823,2,162,NA,Turbo-fan
N855NW,2004,NA,AIRBUS,A330-223,3,379,NA,Turbo-fan
N855RW,2005,NA,EMBRAER,ERJ 170-100 SE,2,70,NA,Turbo-fan
N855UA,2002,NA,AIRBUS,A319-131,2,179,NA,Turbo-jet
N855VA,2012,NA,AIRBUS,A320-214,2,182,NA,Turbo-fan
N8560Z,2018,NA,BOEING,737-800,2,189,NA,Turbo-fan
N8561Z,2018,NA,BOEING,737-800,2,189,NA,Turbo-fan
N8562Z,2018,NA,BOEING,737-800,2,189,NA,Turbo-fan
N8563Z,2018,NA,BOEING,737-800,2,189,NA,Turbo-fan
N8564Z,2018,NA,BOEING,737-800,2,189,NA,Turbo-fan
N8565Z,2018,NA,BOEING,737-800,2,189,NA,Turbo-fan
N8566Z,2018,NA,BOEING,737-800,2,189,NA,Turbo-fan
N8567Z,2018,NA,BOEING,737-800,2,189,NA,Turbo-fan
N8568Z,2018,NA,BOEING,737-800,2,189,NA,Turbo-fan
N8569Z,2018,NA,BOEING,737-800,2,189,NA,Turbo-fan
N856DN,2016,NA,BOEING,737-932ER,2,222,NA,Turbo-fan
N856NN,2010,NA,BOEING,737-823,2,162,NA,Turbo-fan
N856NW,2004,NA,AIRBUS,A330-223,3,379,NA,Turbo-fan
N856RW,2005,NA,EMBRAER,ERJ 170-100 SE,2,70,NA,Turbo-fan
N8570W,2018,NA,BOEING,737-800,2,189,NA,Turbo-fan
N8571Z,2018,NA,BOEING,737-800,2,189,NA,Turbo-fan
N8572X,2018,NA,BOEING,737-800,2,189,NA,Turbo-fan
N8573Z,2018,NA,BOEING,737-800,2,189,NA,Turbo-fan
N8574Z,2018,NA,BOEING,737-800,2,189,NA,Turbo-fan
N8575Z,2018,NA,BOEING,737-800,2,189,NA,Turbo-fan
N8576Z,2018,NA,BOEING,737-800,2,189,NA,Turbo-fan
N8577Z,2018,NA,BOEING,737-800,2,189,NA,Turbo-fan
N8578Q,2018,NA,BOEING,737-800,2,189,NA,Turbo-fan
N8579Z,2018,NA,BOEING,737-800,2,189,NA,Turbo-fan
N857DZ,2016,NA,BOEING,737-932ER,2,222,NA,Turbo-fan
N857NN,2010,NA,BOEING,737-823,2,162,NA,Turbo-fan
N857NW,2004,NA,AIRBUS,A330-223,3,379,NA,Turbo-fan
N857RW,2005,NA,EMBRAER,ERJ 170-100 SE,2,70,NA,Turbo-fan
N8580Z,2018,NA,BOEING,737-800,2,189,NA,Turbo-fan
N8581Z,2018,NA,BOEING,737-800,2,189,NA,Turbo-fan
N8582Z,2018,NA,BOEING,737-800,2,189,NA,Turbo-fan
N8583Z,2018,NA,BOEING,737-800,2,189,NA,Turbo-fan
N8584Z,2018,NA,BOEING,737-800,2,189,NA,Turbo-fan
N858DZ,2016,NA,BOEING,737-932ER,2,222,NA,Turbo-fan
N858NN,2010,NA,BOEING,737-823,2,162,NA,Turbo-fan
N858NW,2006,NA,AIRBUS,A330-223,3,379,NA,Turbo-fan
N858RW,2005,NA,EMBRAER,ERJ 170-100 SE,2,70,NA,Turbo-fan
N859DN,2016,NA,BOEING,737-932ER,2,222,NA,Turbo-fan
N859NN,2010,NA,BOEING,737-823,2,162,NA,Turbo-fan
N859NW,2006,NA,AIRBUS,A330-223,3,379,NA,Turbo-fan
N859RW,2005,NA,EMBRAER,ERJ 170-100 SE,2,70,NA,Turbo-fan
N8600F,2012,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N8601C,2012,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N8602F,2012,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N8603F,2012,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N8604K,2012,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N8605E,2012,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N8606C,NA,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N8607M,2013,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N8608N,2013,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N8609A,2013,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N860DN,2016,NA,BOEING,737-932ER,2,222,NA,Turbo-fan
N860NN,2010,NA,BOEING,737-823,2,162,NA,Turbo-fan
N860NW,2006,NA,AIRBUS,A330-223,3,379,NA,Turbo-fan
N860RW,2005,NA,EMBRAER,ERJ 170-100 SE,2,70,NA,Turbo-fan
N8610A,2013,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N8611F,2013,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N8612K,2013,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N8613K,2013,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N8614M,2013,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N8615E,2013,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N8616C,2013,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N8617E,2013,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N8618N,2013,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N8619F,2013,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N861DN,2016,NA,BOEING,737-932ER,2,222,NA,Turbo-fan
N861NN,2010,NA,BOEING,737-823,2,162,NA,Turbo-fan
N861NW,2006,NA,AIRBUS,A330-223,3,379,NA,Turbo-fan
N861RW,2005,NA,EMBRAER,ERJ 170-100 SE,2,70,NA,Turbo-fan
N8620H,2013,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N8621A,2013,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N8622A,2013,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N8623F,2013,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N8624J,2014,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N8625A,2014,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N8626B,2014,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N8627B,2014,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N8628A,2014,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N8629A,2014,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N862DN,2016,NA,BOEING,737-932ER,2,222,NA,Turbo-fan
N862NN,2010,NA,BOEING,737-823,2,162,NA,Turbo-fan
N862RW,2005,NA,EMBRAER,ERJ 170-100 SE,2,70,NA,Turbo-fan
N86309,2014,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N8630B,2014,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N86311,2014,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N86312,2014,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N86316,2014,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N8631A,2014,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N86322,2015,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N86324,2015,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N8632A,2014,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N86334,2016,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N86336,2016,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N8633A,2014,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N86344,2016,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N86347,2016,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N8634A,2014,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N86350,2017,NA,EMBRAER,ERJ 170-200 LR,2,88,NA,Turbo-fan
N8635F,2014,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N86371,NA,NA,YABORA INDUSTRIA AERONAUTICA S,ERJ 170-200 LL,2,70,NA,Turbo-fan
N86372,NA,NA,YABORA INDUSTRIA AERONAUTICA S,ERJ 170-200 LL,2,70,NA,Turbo-fan
N86375,NA,NA,YABORA INDUSTRIA AERONAUTICA S,ERJ 170-200 LL,2,70,NA,Turbo-fan
N8637A,2014,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N8638A,2014,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N8639B,2014,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N863DN,2016,NA,BOEING,737-932ER,2,222,NA,Turbo-fan
N863NN,2010,NA,BOEING,737-823,2,162,NA,Turbo-fan
N863RW,2005,NA,EMBRAER,ERJ 170-100 SE,2,70,NA,Turbo-fan
N8640D,2014,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N8641B,2014,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N8642E,2014,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N8643A,2014,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N8644C,2014,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N8645A,2014,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N8646B,2014,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N8647A,2014,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N8648A,2014,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N8649A,2014,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N864DN,2016,NA,BOEING,737-932ER,2,222,NA,Turbo-fan
N864NN,2010,NA,BOEING,737-823,2,162,NA,Turbo-fan
N864RW,2006,NA,EMBRAER,ERJ 170-100 SE,2,70,NA,Turbo-fan
N8650F,2014,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N8651A,2014,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N8652B,2014,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N86534,2016,NA,BOEING,737-824,2,149,NA,Turbo-fan
N8653A,2014,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N8654B,2014,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N8655D,2014,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N8656B,2014,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N8657B,2015,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N8658A,2015,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N8659D,2015,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N865DN,2016,NA,BOEING,737-932ER,2,222,NA,Turbo-fan
N865NN,2010,NA,BOEING,737-823,2,162,NA,Turbo-fan
N865RW,2006,NA,EMBRAER,ERJ 170-100 SE,2,70,NA,Turbo-fan
N8660A,2015,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N8661A,2015,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N8662F,2015,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N8663A,2015,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N8664J,2015,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N8665D,2015,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N8667D,2015,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N8668A,2015,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N8669B,2015,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N866DN,2016,NA,BOEING,737-900ER,2,222,NA,Turbo-fan
N866NN,2010,NA,BOEING,737-823,2,162,NA,Turbo-fan
N8670A,2015,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N8671D,2015,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N8672F,2015,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N8673F,2015,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N8674B,2015,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N8675A,2015,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N8676A,2015,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N8677A,2016,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N8678E,2016,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N8679A,2016,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N867DN,2016,NA,BOEING,737-900ER,2,222,NA,Turbo-fan
N867NN,2011,NA,BOEING,737-823,2,162,NA,Turbo-fan
N867RW,2006,NA,EMBRAER,ERJ 170-100SU,2,70,NA,Turbo-fan
N8680C,2016,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N8681M,2016,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N8682B,2016,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N8683D,2016,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N8684F,2016,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N8685B,2016,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N8686A,2016,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N8687A,2016,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N8688J,2016,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N8689C,2016,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N868DN,2016,NA,BOEING,737-900ER,2,222,NA,Turbo-fan
N868NN,2011,NA,BOEING,737-823,2,162,NA,Turbo-fan
N8690A,2016,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N8691A,2016,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N8692F,2016,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N8693A,2016,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N8694E,2016,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N8695D,2016,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N8696E,2016,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N8697C,2016,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N8698B,2016,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N8699A,2016,NA,BOEING,737-8H4,2,140,NA,Turbo-fan
N869DN,2016,NA,BOEING,737-900ER,2,222,NA,Turbo-fan
N869NN,2011,NA,BOEING,737-823,2,162,NA,Turbo-fan
N869RW,2006,NA,EMBRAER,ERJ 170-100 SE,2,70,NA,Turbo-fan
N8701Q,2015,NA,BOEING,737-8,2,185,NA,Turbo-fan
N8702L,2018,NA,BOEING,737-8,2,185,NA,Turbo-fan
N8704Q,2016,NA,BOEING,737-8,2,185,NA,Turbo-fan
N8705Q,2017,NA,BOEING,737-8,2,185,NA,Turbo-fan
N8706W,2017,NA,BOEING,737-8,2,185,NA,Turbo-fan
N8707P,NA,NA,BOEING,737-8,2,185,NA,Turbo-fan
N8708Q,2017,NA,BOEING,737-8,2,185,NA,Turbo-fan
N8709Q,2017,NA,BOEING,737-8,2,185,NA,Turbo-fan
N870DN,2017,NA,BOEING,737-900ER,2,222,NA,Turbo-fan
N870NN,2011,NA,BOEING,737-823,2,162,NA,Turbo-fan
N870RW,2006,NA,EMBRAER,ERJ 170-100SU,2,70,NA,Turbo-fan
N8710M,2017,NA,BOEING,737-8,2,185,NA,Turbo-fan
N8711Q,2017,NA,BOEING,737-8,2,185,NA,Turbo-fan
N8712L,2017,NA,BOEING,737-8,2,185,NA,Turbo-fan
N8713M,2017,NA,BOEING,737-8,2,185,NA,Turbo-fan
N8714Q,2017,NA,BOEING,737-8,2,185,NA,Turbo-fan
N8715Q,2017,NA,BOEING,737-8,2,185,NA,Turbo-fan
N8716B,2017,NA,BOEING,737-8,2,185,NA,Turbo-fan
N8717M,2018,NA,BOEING,737-8,2,185,NA,Turbo-fan
N8718Q,2018,NA,BOEING,737-8,2,185,NA,Turbo-fan
N8719Q,2018,NA,BOEING,737-8,2,185,NA,Turbo-fan
N871DN,NA,NA,BOEING,737-900ER,2,222,NA,Turbo-fan
N871NN,2011,NA,BOEING,737-823,2,162,NA,Turbo-fan
N871RW,2006,NA,EMBRAER,ERJ 170-100SU,2,70,NA,Turbo-fan
N871UA,2003,NA,AIRBUS,A319-132,2,179,NA,Turbo-fan
N8720L,2018,NA,BOEING,737-8,2,185,NA,Turbo-fan
N8721J,2018,NA,BOEING,737-8,2,185,NA,Turbo-fan
N8722L,2018,NA,BOEING,737-8,2,185,NA,Turbo-fan
N8723Q,2018,NA,BOEING,737-8,2,185,NA,Turbo-fan
N8724J,2018,NA,BOEING,737-8,2,185,NA,Turbo-fan
N8725L,2018,NA,BOEING,737-8,2,185,NA,Turbo-fan
N8726H,2018,NA,BOEING,737-8,2,185,NA,Turbo-fan
N8727M,2018,NA,BOEING,737-8,2,185,NA,Turbo-fan
N8728Q,2018,NA,BOEING,737-8,2,185,NA,Turbo-fan
N8729H,2018,NA,BOEING,737-8,2,185,NA,Turbo-fan
N872DC,2011,NA,BOMBARDIER INC,CL-600-2C10,2,80,NA,Turbo-fan
N872DN,2017,NA,BOEING,737-900ER,2,222,NA,Turbo-fan
N872NN,2011,NA,BOEING,737-823,2,162,NA,Turbo-fan
N872RW,2006,NA,EMBRAER,ERJ 170-100SU,2,70,NA,Turbo-fan
N872UA,2003,NA,AIRBUS,A319-132,2,179,NA,Turbo-fan
N87302,2014,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N87303,2014,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N87306,2014,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N8730Q,2018,NA,BOEING,737-8,2,185,NA,Turbo-fan
N87318,2014,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N87319,2014,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N8731J,2018,NA,BOEING,737-8,2,185,NA,Turbo-fan
N8732S,NA,NA,BOEING,737-8,2,185,NA,Turbo-fan
N87337,2016,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N87339,2016,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N8733M,2019,NA,BOEING,737-8,2,185,NA,Turbo-fan
N87345,2016,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N8734Q,2019,NA,BOEING,737-8,2,185,NA,Turbo-fan
N87353,2017,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N8735L,2019,NA,BOEING,737-8,2,185,NA,Turbo-fan
N87360,2017,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N87364,2020,NA,YABORA INDUSTRIA AERONAUTICA S,ERJ 170-200 LL,2,70,NA,Turbo-fan
N87365,2020,NA,YABORA INDUSTRIA AERONAUTICA S,ERJ 170-200 LL,2,70,NA,Turbo-fan
N87367,2020,NA,YABORA INDUSTRIA AERONAUTICA S,ERJ 170-200 LL,2,70,NA,Turbo-fan
N87368,2020,NA,YABORA INDUSTRIA AERONAUTICA S,ERJ 170-200 LL,2,70,NA,Turbo-fan
N8736J,2020,NA,BOEING,737-8,2,185,NA,Turbo-fan
N8737L,2020,NA,BOEING,737-8,2,185,NA,Turbo-fan
N87380,NA,NA,YABORA INDUSTRIA AERONAUTICA S,ERJ 170-200 LL,2,70,NA,Turbo-fan
N8738K,2020,NA,BOEING,737-8,2,185,NA,Turbo-fan
N8739L,2020,NA,BOEING,737-8,2,185,NA,Turbo-fan
N873DN,2017,NA,BOEING,737-900ER,2,222,NA,Turbo-fan
N873NN,2011,NA,BOEING,737-823,2,162,NA,Turbo-fan
N873UA,2003,NA,AIRBUS,A319-132,2,179,NA,Turbo-fan
N8740A,2021,NA,BOEING,737-8,2,185,NA,Turbo-fan
N8741L,2021,NA,BOEING,737-8,2,185,NA,Turbo-fan
N8742M,2020,NA,BOEING,737-8,2,185,NA,Turbo-fan
N8743K,NA,NA,BOEING,737-8,2,185,NA,Turbo-fan
N8744B,2020,NA,BOEING,737-8,2,185,NA,Turbo-fan
N8745K,2020,NA,BOEING,737-8,2,185,NA,Turbo-fan
N8746Q,2020,NA,BOEING,737-8,2,185,NA,Turbo-fan
N8747Q,2020,NA,BOEING,737-8,2,185,NA,Turbo-fan
N8748Q,2020,NA,BOEING,737-8,2,185,NA,Turbo-fan
N8749Q,2021,NA,BOEING,737-8,2,185,NA,Turbo-fan
N874DN,2017,NA,BOEING,737-900ER,2,222,NA,Turbo-fan
N874NN,2011,NA,BOEING,737-823,2,162,NA,Turbo-fan
N874UA,NA,NA,AIRBUS,A319-132,2,179,NA,Turbo-fan
N87507,2008,NA,BOEING,737-824,2,149,NA,Turbo-fan
N8750Q,2021,NA,BOEING,737-8,2,185,NA,Turbo-fan
N87512,2008,NA,BOEING,737-824,2,149,NA,Turbo-fan
N87513,2008,NA,BOEING,737-824,2,149,NA,Turbo-fan
N8751R,2021,NA,BOEING,737-8,2,185,NA,Turbo-fan
N87527,2010,NA,BOEING,737-824,2,149,NA,Turbo-fan
N87531,2011,NA,BOEING,737-824,2,149,NA,Turbo-fan
N875DN,2017,NA,BOEING,737-900ER,2,222,NA,Turbo-fan
N875NN,2011,NA,BOEING,737-823,2,162,NA,Turbo-fan
N875RW,2007,NA,EMBRAER,ERJ 170-100 LR,2,70,NA,Turbo-fan
N875UA,NA,NA,AIRBUS,A319-132,2,179,NA,Turbo-fan
N876DN,NA,NA,BOEING,737-900ER,2,222,NA,Turbo-fan
N876NN,2011,NA,BOEING,737-823,2,162,NA,Turbo-fan
N876UA,2004,NA,AIRBUS,A319-132,2,179,NA,Turbo-fan
N877DN,2017,NA,BOEING,737-900ER,2,222,NA,Turbo-fan
N877NN,2011,NA,BOEING,737-823,2,162,NA,Turbo-fan
N877UA,2004,NA,AIRBUS,A319-132,2,179,NA,Turbo-fan
N878DN,2017,NA,BOEING,737-900ER,2,222,NA,Turbo-fan
N878NN,2011,NA,BOEING,737-823,2,162,NA,Turbo-fan
N878RW,2007,NA,EMBRAER,ERJ 170-100 LR,2,70,NA,Turbo-fan
N878UA,2005,NA,AIRBUS,A319-132,2,179,NA,Turbo-fan
